Complaint,Risk Code,Risk Description,Impact Score,Urgency Score,Frequency Score,Controllability Score,Priority Score,Priority Level
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The product is not as advertised.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Careless handling by the delivery team.,OR-05,Global Shipping Failures,4,4,3,4,12.0,P4 - Low
The product had poor quality.,FR-05,Product Value Discrepancy,4,4,3,5,9.6,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Low quality products are a usual here these days.,FR-05,Product Value Discrepancy,4,4,5,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The product had poor quality.,FR-05,Product Value Discrepancy,4,4,3,5,9.6,P4 - Low
Careless handling by the delivery team.,OR-05,Global Shipping Failures,4,4,3,4,12.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Careless handling by the delivery team.,OR-05,Global Shipping Failures,4,4,3,4,12.0,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
Careless handling by the delivery team.,OR-05,Global Shipping Failures,4,4,3,4,12.0,P4 - Low
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Clear delays in delivery.,OR-05,Global Shipping Failures,5,5,4,4,25.0,P3 - Medium
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Clear delays in delivery.,OR-05,Global Shipping Failures,5,5,4,4,25.0,P3 - Medium
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product is not as advertised.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product is not as advertised.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product is not as advertised.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Clear delays in delivery.,OR-05,Global Shipping Failures,5,5,4,4,25.0,P3 - Medium
Careless handling by the delivery team.,OR-05,Global Shipping Failures,4,4,3,4,12.0,P4 - Low
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Clear delays in delivery.,OR-05,Global Shipping Failures,5,5,4,4,25.0,P3 - Medium
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product is not as advertised.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Low quality products are a usual here these days.,FR-05,Product Value Discrepancy,4,4,5,5,16.0,P4 - Low
Low quality products are a usual here these days.,FR-05,Product Value Discrepancy,4,4,5,5,16.0,P4 - Low
Clear delays in delivery.,OR-05,Global Shipping Failures,5,5,4,4,25.0,P3 - Medium
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product is not as advertised.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product had poor quality.,FR-05,Product Value Discrepancy,4,4,3,5,9.6,P4 - Low
Careless handling by the delivery team.,OR-05,Global Shipping Failures,4,4,3,4,12.0,P4 - Low
Low quality products are a usual here these days.,FR-05,Product Value Discrepancy,4,4,5,5,16.0,P4 - Low
Low quality products are a usual here these days.,FR-05,Product Value Discrepancy,4,4,5,5,16.0,P4 - Low
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Clear delays in delivery.,OR-05,Global Shipping Failures,5,5,4,4,25.0,P3 - Medium
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
There is clear evidence of subpar detailing.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Low quality products are a usual here these days.,FR-05,Product Value Discrepancy,4,4,5,5,16.0,P4 - Low
Low quality products are a usual here these days.,FR-05,Product Value Discrepancy,4,4,5,5,16.0,P4 - Low
The product is not as advertised.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
Careless handling by the delivery team.,OR-05,Global Shipping Failures,4,4,3,4,12.0,P4 - Low
Never buying from here again.,ER-03,Fan Expectation Misalignment,5,4,4,4,20.0,P3 - Medium
"Unfortunately, the delivery was late.",OR-05,Global Shipping Failures,5,4,4,2,40.0,P2 - High
Clear delays in delivery.,OR-05,Global Shipping Failures,5,5,4,4,25.0,P3 - Medium
The product had an underwhelming design.,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
The promotion quality does not match the product,ER-03,Fan Expectation Misalignment,5,4,4,5,16.0,P4 - Low
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
Waste of Money.,FR-05,Product Value Discrepancy,4,4,4,5,12.8,P4 - Low
