Complaint,Risk Code,Risk Description,Impact Score,Urgency Score,Frequency Score,Controllability Score,Priority Score,Priority Level
Rooms are nice but for elderly a bit difficult as most rooms are two story with narrow steps So ask for single level Inside the rooms are very very basic just tea coffee and boiler and no bar empty fridge,ER-03,Guest Expectation Mismatch,4,3,4,5,9.6,P4 - Low
You When I booked with your company on line you showed me pictures of a room I thought I was getting and paying for and then when we arrived that s room was booked and the staff told me we could only book the villa suite theough them directly Which was completely false advertising After being there we realised that you have grouped lots of rooms on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present Please make your website more clear through pricing and photos as again I didn t really know what I was paying for and how much it had wnded up being Your photos told me I was getting something I wasn t Not happy and won t be using you again,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
Backyard of the hotel is total mess shouldn t happen in hotel with 4 stars,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
Cleaner did not change our sheet and duvet everyday but just made bed They also didn t clean the floor and changed the body gel when we run out of it,OR-04,Employee Service Inadequacy,5,4,4,5,16.0,P4 - Low
Apart from the price for the brekfast Everything very good,FR-05,Price-Value Perception Gap,5,3,3,5,9.0,P4 - Low
Even though the pictures show very clean rooms the actual room was quit dirty and outlived Also check in is at 15 o clock but our room was not ready at that time,ER-03,Guest Expectation Mismatch,5,4,3,5,12.0,P4 - Low
The aircondition makes so much noise and its hard to sleep at night,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
The floor in my room was filfy dirty Very basic rooms I had a 20yr old tv in my room Fridge did not work Overpriced breakfast,FR-05,Price-Value Perception Gap,5,5,4,5,20.0,P3 - Medium
We did not like the fact that breakfast was not included although you could pay extra for this The room we stayed in was lacking in space a bit and the bathroom was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment,ER-03,Guest Expectation Mismatch,5,3,4,5,12.0,P4 - Low
We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our bed was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the hotel was lovely,OR-01,Luxury Service Degradation,5,4,5,5,20.0,P3 - Medium
Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
Our room was an overrated disaster room 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other rooms We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathroom is the worst design disaster one can imagine We found the whole hotel dirty dusty and dated To spend more then 243 Euros for a dirty attic room is daylight robbery,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
Transportation was a bit of a pain but on route to your destination there is amazing views at every corner,OR-02,Guest Process Failures,4,3,2,4,6.0,P4 - Low
The bathroom in our room was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom,ER-03,Guest Expectation Mismatch,5,5,4,5,20.0,P3 - Medium
There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical,OR-01,Luxury Service Degradation,5,3,5,5,15.0,P4 - Low
Little bit on the pricey side,FR-05,Price-Value Perception Gap,5,3,4,4,15.0,P4 - Low
Construction on site but not mentioned on booking com The breakfast can be improved it is quite expensive for its quality,ER-03,Guest Expectation Mismatch,5,4,5,5,20.0,P3 - Medium
not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation,OR-04,Employee Service Inadequacy,5,5,4,5,20.0,P3 - Medium
The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that,ER-03,Guest Expectation Mismatch,1,1,1,5,0.2,P4 - Low
Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again,OR-01,Luxury Service Degradation,5,5,5,5,25.0,P3 - Medium
Water pressure in my shower was no existent Feel bad even saying that,OR-01,Luxury Service Degradation,5,5,3,5,15.0,P4 - Low
Bathroom lighting could have been brighter The airconditioning of our room 303 could not be turned down lower than 23 degrees celcius The refrigerator in our room was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
The hotel is a little out of the main town but accessible by tram The hotel restaurant was a little disappointing the food was great but we waited too long for it due to waiting staff prioritising large groups,OR-04,Employee Service Inadequacy,5,4,4,5,16.0,P4 - Low
Service horrible Pillows super stiff and big could break your neck Room service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
I loved everything,ER-04,Luxury Brand Reputation,5,3,4,5,12.0,P4 - Low
when you take a shower the whole floor is in the water problem with opening the garage door curtained window some construction,OR-01,Luxury Service Degradation,5,5,5,5,25.0,P3 - Medium
Some building work was being carried out during our stay which was noisy but obviously unavoidable stairs in our room were very narrow and steep which meant getting up in the middle of the night to go to the toilet was a real task,ER-03,Guest Expectation Mismatch,4,3,4,4,12.0,P4 - Low
The bathroom if someone took shower because it will flow over to the elevated floor,OR-01,Luxury Service Degradation,5,5,5,5,25.0,P3 - Medium
Soundproofing was poor could hear everything from outside our room and woke one morning thinking someone had come into our room as sound was so clear Service and food in the restaurant was awful at dinner so we didn t eat there again,OR-01,Luxury Service Degradation,5,4,4,5,16.0,P4 - Low
Very bad attitude of personnel at Breakfast Only allowed one coffee from the Coffee machine filter coffee was free Rude behavior of the manager Room was noisy because of dripping water sound heater system in room,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
The bath tub wasn t completely clean that would be my only gripe,OR-04,Employee Service Inadequacy,5,4,4,5,16.0,P4 - Low
Asked for more coffee and sugars only got given two satchets of each Room cleaned floor not hovered as the rug was very messy Wifi worked for half a morning then never connected again for the whole trip,OR-01,Luxury Service Degradation,5,4,4,5,16.0,P4 - Low
Room was not cleaned correctly Wine Champagne glasses left dirty in the room the floors felt dirty and the shower drain was clogged From the day we arrived,OR-01,Luxury Service Degradation,5,4,4,5,16.0,P4 - Low
The bathroom was amazing Though we were two friends sharing and it had a glass screen so it was a bit uncomfortable at times They should think about a screen or opaque glass,ER-03,Guest Expectation Mismatch,4,3,4,5,9.6,P4 - Low
Our room didn t have a sofa in but these two uncomfortable chairs and the stairs was too steep for the room Didn t feel safe going up and down the stairs but these are minor issues I would recommend the hotel to anyone,ER-03,Guest Expectation Mismatch,2,2,4,5,3.2,P4 - Low
The breakfast was rather average from quality and appearance and not that well organized The young gentlemen managing this were more interested in watching the young female guests This was nice to see but at the same time spoons butter coffee etc were out I would expect a better experience for that price,OR-04,Employee Service Inadequacy,5,4,3,5,12.0,P4 - Low
Breakfast I missed cutted fresh fruits for Muesli couldn t find the Cheese and for Capuccino you had to pay extra,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
The sink in the bathroom was very dirty when I got the room Unacceptable The room was freezing cold they could turn on the heating before the guests arrive,OR-01,Luxury Service Degradation,5,5,3,5,15.0,P4 - Low
If you are staying with someone who you aren t comfortable sharing every little detail with we wouldn t recommend this hotel The glass box in the corner of the room that doubles as the en suite has practically see through glass even though it s black so you can t be concerned about protecting your modesty Nearly all the guests we came across we re British but there was a complete lack of English Breakfast tea in the restaurant where you had breakfast What made it stranger was we told them it was available in the tea coffee facilities in the room but only with powdered milk but they still couldn t produce any for breakfast The hotel was also undergoing serious renovation works at the time Which didn t really affect us other than when they decided to start taking the ceiling of the restaurant down while they were serving breakfast,OR-01,Luxury Service Degradation,5,5,5,5,25.0,P3 - Medium
The hotel is undergoing massive construction with workers all around and this was not indicated at the time of booking We had a rodent in the room one night due to the disturbance of construction,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
Rooms were a little louder than we would have liked A lot of noise from people walking by and shutting doors,OR-01,Luxury Service Degradation,4,4,4,4,16.0,P4 - Low
The hotel is being renovated Which means that you will literally be drilled out of your bed starting at 7am We paid EUR350 for a large room but really it was not worth the money,FR-05,Price-Value Perception Gap,5,5,5,5,25.0,P3 - Medium
I can t think of anything that we didn t enjoy,ER-03,Guest Expectation Mismatch,5,2,4,5,8.0,P4 - Low
The cleaniness of the rooms can be better Check refrigerator regulary and the rooms can use a good cleaning scrub Also the floor was really sandy and there was an odor in the hallway and room Some extra pillows to watch tv would be nice too Restaurant some nice varpet at the fire place would spice it up And cookies with your tea coffee hot choco it s a star hotel,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
Wasn t told about renovations going on staff in the restaurant very slow ask to order got told table service then when they did come over were told the restaurant had closed The man covering the night shift wasn t very helpful,OR-01,Luxury Service Degradation,5,4,4,5,16.0,P4 - Low
The hotel is currently being renovated Being an old building you hear a lot of noise of people walking by your room or in the rooms above Mini Bar empty No remote for the TV Heating direct above the bed and quite noisy,ER-03,Guest Expectation Mismatch,5,5,4,4,25.0,P3 - Medium
Initial room was small but we were quickly swapped into a bettet room without fuss,ER-03,Guest Expectation Mismatch,2,2,3,5,2.4,P4 - Low
That I wasn t told about the refurbishment so when we arrived i had told my girlfriend after a long tiring day it was a beautiful hotel which when we got there was covered in building works We had to walk through a temporary wood tunnel had no milk in our room for refreshments When walking around there was nobody very empty feel,ER-03,Guest Expectation Mismatch,5,4,3,5,12.0,P4 - Low
No ground floor room as requested 2 months ago first room totally freezing etc restaurant under par Much better last time we stayed Prices gone up,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
We booked 3 twins and were given 2 and a double which they couldn t change Not happy Plus bathroom had a horrible smell coming from the drain,ER-03,Guest Expectation Mismatch,5,5,4,5,20.0,P3 - Medium
The room was tall narrow and small with an integral bathroon Having a shower steamed up the room and soaked the floor as the glass shower panels did not have any doors to stop water going everywhere,ER-03,Guest Expectation Mismatch,5,5,5,5,25.0,P3 - Medium
There were Construction Works and such information was not passed to us when we booked There was dust everywhere and the shower was blocked the bathroom flooded everytime we took a shower Too dark common reas,OR-01,Luxury Service Degradation,5,5,4,5,20.0,P3 - Medium
Our room was a little compact probably due to it being a loft room at the end of the building However the design tried to maximise its quirky layout,ER-03,Guest Expectation Mismatch,2,1,2,4,1.0,P4 - Low
split level bedrooms although quirky are impractical 1 TV remote for both tv s but on differernt floors A C is located downstairs so very impractical to have to go downstairs to adjust The walls are also very thin not good sound proofing,ER-03,Guest Expectation Mismatch,5,4,5,5,20.0,P3 - Medium
Building work starting at 7am waking us up no mention of building work on booking com and on hotels web page it does say renovations but not that there would be noise disturbance Also air conditioning very very loud,ER-03,Guest Expectation Mismatch,4,4,4,5,12.8,P4 - Low
Hotel is having some construction work done this I can live with the tables and general cleanliness of the restaurant was not 4 star all the surfaces were sticky and full of old food the room had a very narrow and steep staircase to get to the bed really difficult to come down I thought,OR-01,Luxury Service Degradation,5,5,5,5,25.0,P3 - Medium
it s a shame about all the construction going on because it looked like such a beautiful place but we couldn t see a lot,ER-03,Guest Expectation Mismatch,4,4,4,2,32.0,P3 - Medium
Building work is being done but it doesn t case any hassle,ER-03,Guest Expectation Mismatch,1,1,1,5,0.2,P4 - Low
Construction during the day though not intrusive,OR-01,Luxury Service Degradation,1,2,3,5,1.2,P4 - Low
The front desk staff particularly the young men tended to be a bit spaced out and were not very helpful at times however the female attendants on the desk were quite efficient and knowledgeable Breakfast was a bit pricey especially for two people combined,OR-04,Employee Service Inadequacy,5,4,4,5,16.0,P4 - Low
There was a loud noise outside my room on the first night like a generator Perhaps it had to do with the renewal works in place,OR-01,Luxury Service Degradation,5,4,4,5,16.0,P4 - Low
Staff promised things they didn t deliver Room was very small bathroom cramped location generally distant,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
I wouldnt be able to recommend my grandparents as there are stairs in our room i also dont remember reading that there are stairs in the room although its fine for us as we are only 20,ER-03,Guest Expectation Mismatch,5,4,4,5,16.0,P4 - Low
The outside of the hotel is under construction It will look beautiful when it s done,ER-03,Guest Expectation Mismatch,4,3,4,4,12.0,P4 - Low
